time,mz,charge,intensity,RT_length,points,scans,peaks,Tmz,Tintensity,Tmass,Tintensity10,Pintensity,rt_start,rt_end,Ttime,sample,fraction,statu,score,group
71.6,1007.3955,5,8930100.0,0.098,4,2,2,1007.3955,23.09024490017978,1007.4,6.950856322181383,7.762341794663783e-05,71.55099999999999,71.649,73.38628965989963,A2,F1,use,0.98894536,1007.4_1007.43_1
71.6,1007.3951,5,9898300.0,0.1349999999999999,5,3,2,1007.3951,23.238749337731694,1007.4,6.995560612373717,0.000101198602654,71.5325,71.66749999999999,73.6341432060676,A1,F1,use,0.98894536,1007.4_1007.43_1
49.3,1010.0417,5,55961000.0,0.315,48,11,7,1010.0417,25.737918407310172,1010.04,7.747885466552484,0.0005573098702465,49.1425,49.4575,50.41515865648314,A3,F1,use,0.9935655,1010.04_1010.07_1
50.1,1010.0417,5,43905000.0,0.3333333333333333,65,15,7,1010.0417,25.38788191067936,1010.04,7.642513981489473,0.0003816369542275,49.93333333333334,50.266666666666666,51.40855159003598,A2,F1,use,0.9935655,1010.04_1010.07_1
73.3,1030.5942,5,35986000.0,0.2816666666666666,16,11,2,1030.5942,25.100932413574057,1030.59,7.556133575620083,0.0003583808900965,73.15916666666666,73.44083333333333,75.07451913138134,A3,F1,use,0.98769194,1030.59_1030.62_1
73.2,1030.5931,5,26578000.0,0.2716666666666666,20,12,2,1030.5931,24.66372920980974,1030.59,7.424522297086633,0.0002310248711868,73.06416666666667,73.33583333333334,75.13745655500117,A2,F1,use,0.98769194,1030.59_1030.62_1
70.2,1100.7183,5,39043000.0,0.18,15,8,3,1100.7183,25.2185605756891,1100.72,7.591543180751537,0.0003991692556723,70.11,70.29,72.1943694562283,A1,F1,use,0.98932326,1100.7_1100.73_1
70.3,1100.7164,5,34960000.0,0.1486666666666666,13,7,2,1100.7164,25.059201849050048,1100.72,7.543571423962366,0.0003038840204941,70.22566666666667,70.37433333333333,72.15850311784102,A2,F1,use,0.99209285,1100.7_1100.73_1
70.4,1100.7165,5,24633000.0,0.0863333333333333,8,4,3,1100.7165,24.554089005469358,1100.72,7.391517306849448,0.0002453175253083,70.35683333333334,70.44316666666667,72.09484640733113,A3,F1,use,0.99209285,1100.7_1100.73_1
51.2,1108.8888,5,88796000.0,0.485,36,27,2,1108.8888,26.40399135306012,1108.89,7.948393402523484,0.0007718445504518,50.9575,51.4425,52.5384994455105,A2,F1,use,0.99434084,1108.89_1108.92_1
50.9,1108.888,5,37776000.0,0.3916666666666666,31,28,2,1108.888,25.17096661089073,1108.89,7.5772159697346515,0.0003862156545931,50.704166666666666,51.09583333333333,52.34605990487209,A1,F1,use,0.99434084,1108.89_1108.92_1
75.3,1112.3808,5,177780000.0,0.355,98,17,8,1112.3808,27.405517791231887,1112.38,8.249882901863694,0.0017704928205791,75.1225,75.47749999999999,77.12946583762285,A3,F1,use,0.98987854,1112.38_1112.41_1
75.2,1112.3807,5,90693000.0,0.4783333333333333,80,22,7,1112.3807,26.434487867060053,1112.38,7.9575737680006515,0.0007883339093441,74.96083333333334,75.43916666666667,77.1919072013185,A2,F1,use,0.98987854,1112.38_1112.41_1
75.6,1112.7771,5,32318000.0,0.2283333333333333,20,11,2,1112.7771,24.945834583855664,1112.78,7.509444476612463,0.0003218516535913,75.48583333333333,75.71416666666666,77.43770784355907,A3,F1,use,0.98629904,1112.78_1112.81_1
75.5,1112.777,5,18239000.0,0.225,13,12,2,1112.777,24.12052329642308,1112.78,7.261001023335196,0.0001585394922709,75.3875,75.6125,77.5000747982661,A2,F1,use,0.98629904,1112.78_1112.81_1
70.1,1145.9873,5,13500000.0,0.1323333333333333,5,4,2,1145.9873,23.686456071487644,1145.99,7.130333768495007,0.0001344451179987,70.03383333333333,70.16616666666665,71.78660440139491,A3,F1,use,0.99010986,1145.99_1146.02_1
