charge	Scan_Num	RT	RT_Calibrated	RTbegin	RTend	MaxInt	MaxInt_calibrated	SA	SACalibrated	goodness_fit	S/N	m/z
4	3	12.72384	12.72384	12.72384	12.752625	1162258.568	104444.5154	37652.99305	3383.626262	0.836775	18.716458	839.822021
4	6	12.928581	12.928581	12.889676	12.929923	1360675.272	93130.94977	42256.66449	2912.878986	0.951649	38.499626	661.286682
4	9	12.957075	12.95831	12.929923	12.985462	1392402.721	96901.06009	60086.66973	4185.237662	0.966475	42.911957	661.287231
4	4	13.19705	13.19705	13.19705	13.235558	715825.6533	47974.37527	28172.39979	1888.104001	0.965392	26.929545	661.533936
4	4	13.43365	13.43365	13.425073	13.450631	718510.4548	46460.42385	19280.84223	1246.740525	0.86985	33.43305	532.485657
4	8	13.930552	13.930552	13.871091	13.96257	998334.8428	63830.625	73358.92535	4720.340865	0.911879	26.049946	591.775208
4	6	13.961737	13.961737	13.944047	13.988271	1092697.905	72668.10508	36808.1863	2416.37186	0.984771	31.781191	644.566223
4	3	14.017248	14.017248	13.996834	14.017248	2441192.896	165202.1991	42525.48546	2877.815894	0.930904	57.823174	588.250793
4	3	14.027702	14.027702	14.011154	14.027702	773587.7636	54658.92486	13851.0656	978.666403	0.9149	26.701103	503.198029
4	5	14.033786	14.033786	14.017248	14.066179	1155028.39	81604.37971	52200.67289	3688.050932	0.953145	34.042861	505.476868
4	7	14.054191	14.054191	14.017248	14.089081	2824983.761	216985.5683	128701.1369	9616.533221	0.921234	66.433275	578.012512
4	7	14.05093	14.05093	14.027702	14.09545	2427332.465	186806.6743	111893.9902	8388.204629	0.93975	50.380045	588.990479
4	3	14.10472	14.10472	14.09545	14.123156	401705.3239	29259.62007	10728.90338	781.477411	0.918321	22.157894	578.262512
4	10	14.102075	14.103784	14.066179	14.151645	1840263.401	139741.0433	102364.2607	7617.629929	0.960038	41.795781	678.285217
4	7	14.182915	14.182915	14.145537	14.227302	715094.057	53446.52969	40785.28158	2802.723389	0.913798	43.902762	432.447968
4	24	14.150509	14.136454	14.066179	14.253579	5967233.594	444502.7448	629868.7178	46014.86843	0.957213	243.272577	487.730255
4	4	14.686982	14.686982	14.636024	14.693069	226856.32	14990.83592	10577.72265	698.983853	0.981961	9.804974	533.24707
4	9	14.64621	14.64621	14.621349	14.707406	964925.8515	60558.22851	64836.28551	4228.39518	0.968049	39.059451	533.501648
4	12	14.733311	14.736506	14.686982	14.782835	2217805.936	155332.0139	144521.0919	10259.4542	0.982238	60.895805	580.757507
4	14	14.737955	14.739686	14.672161	14.79336	5055735.762	363439.6746	353844.6568	25027.04634	0.969779	171.452598	500.461884
4	7	14.775722	14.775722	14.759645	14.810799	1157434.144	86353.67907	44435.89761	3310.787315	0.937776	31.979822	578.748108
